elevation,recorder_speed,system_time,plate_color,gps_time,to_police_num,plate_num,gps_longitude,erro_type,gps_speed,operator,map_latitude,map_longitude,gps_latitude,event,direction,mileage
300,0,20181001/053023,蓝色,20181001/053016,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,173,46
300,11,20181001/053052,蓝色,20181001/053045,,粤A1NW34,68114647,0,12,44030095,13861546,68117783,13863198,4,180,46
300,19,20181001/053137,蓝色,20181001/053116,,粤A1NW34,68114793,0,19,44030095,13860867,68117928,13862520,4,155,46
300,8,20181001/053153,蓝色,20181001/053146,,粤A1NW34,68114997,0,8,44030095,13860465,68118132,13862118,4,149,46
300,22,20181001/053222,蓝色,20181001/053216,,粤A1NW34,68115306,0,22,44030095,13859677,68118440,13861332,4,161,46
300,28,20181001/053326,蓝色,20181001/053247,,粤A1NW34,68115697,0,29,44030095,13858609,68118829,13860265,4,162,47
300,36,20181001/053352,蓝色,20181001/053345,,粤A1NW34,68116698,0,36,44030095,13855788,68119827,13857448,4,160,47
300,25,20181001/053427,蓝色,20181001/053415,,粤A1NW34,68117214,0,26,44030095,13854342,68120341,13856004,4,161,47
300,24,20181001/053452,蓝色,20181001/053446,,粤A1NW34,68116827,0,24,44030095,13853744,68119955,13855405,4,237,48
300,31,20181001/053523,蓝色,20181001/053516,,粤A1NW34,68115751,0,32,44030095,13852980,68118883,13854639,4,224,48
300,37,20181001/053559,蓝色,20181001/053546,,粤A1NW34,68114499,0,38,44030095,13851778,68117635,13853434,4,232,48
300,34,20181001/053624,蓝色,20181001/053618,,粤A1NW34,68112940,0,35,44030095,13851119,68116081,13852771,4,253,48
300,21,20181001/053653,蓝色,20181001/053646,,粤A1NW34,68111952,0,21,44030095,13850816,68115096,13852465,4,252,49
300,18,20181001/053818,蓝色,20181001/053718,,粤A1NW34,68111017,0,19,44030095,13850638,68114164,13852284,4,258,49
300,27,20181001/053917,蓝色,20181001/053820,,粤A1NW34,68109685,0,28,44030095,13851830,68112837,13853472,4,321,49
300,36,20181001/053923,蓝色,20181001/053916,,粤A1NW34,68108952,0,37,44030095,13855010,68112107,13856649,4,354,50
