name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,28498,8911117322,traffic_signals,,signal,,,,113.8327214,22.8019279,,,
,28499,8911117323,traffic_signals,,signal,,,,113.840582,22.8057845,,,
,28500,8911117300,traffic_signals,,signal,,,,113.8362204,22.8038244,,,
,28501,8911117299,traffic_signals,,signal,,,,113.8331637,22.8023281,,,
,28502,2727707482,traffic_signals,,signal,,,,113.8438623,22.8066472,,,
,28503,8911117240,,,,,,,113.8440239,22.8066492,,,
,28504,8911117242,traffic_signals,,signal,,,,113.8459016,22.8066717,,,
,28505,8911117244,traffic_signals,,signal,,,,113.8463366,22.8068566,,,
,28506,8911117307,traffic_signals,,signal,,,,113.8442737,22.8068275,,,
,28507,8909842720,,,,,,,113.8440217,22.806824,,,
,28508,8911777585,traffic_signals,,signal,,,,113.8523442,22.803958,,,
,28509,6061868641,,,,,,,113.8523171,22.8037736,,,
,28510,8946574051,traffic_signals,,signal,,,,113.8529017,22.8065911,,,
,28511,8946748339,,,,,,,113.8592376,22.8171634,,,
,28512,8946748360,,,,,,,113.8651344,22.8226918,,,
,28513,8946748495,traffic_signals,,signal,,,,113.8591595,22.8173271,,,
,28514,8946574190,traffic_signals,,signal,,,,113.8652767,22.8168936,,,
,28515,8946574200,traffic_signals,,signal,,,,113.8650737,22.8171518,,,
,28516,8946574237,,,,,,,113.8652287,22.8171533,,,
,28517,8946574091,traffic_signals,,signal,,,,113.8593807,22.8171615,,,
,28518,8946574186,,,,,,,113.8650538,22.8267354,,,
,28519,8946748362,,,,,,,113.8652103,22.8226926,,,
,28520,8946574183,,,,,,,113.8651296,22.8267571,,,
,28521,8946573942,,,,,,,113.8548945,22.821322,,,
,28522,8946573985,traffic_signals,,signal,,,,113.8542985,22.8173526,,,
,28523,8946573940,,,,,,,113.8542768,22.8171985,,,
,28524,8946573970,,,,,,,113.8541893,22.8171747,,,
,28525,8946573975,,,,,,,113.8542683,22.8171381,,,
,28526,8946573983,traffic_signals,,signal,,,,113.854333,22.8170276,,,
,28527,1306712943,,,,,,,114.4137831,22.7649467,,,
,28528,6679920375,traffic_signals,,signal,,,,114.4126784,22.764678,,,
,28529,9006653093,,,,,,,114.4124798,22.7644725,,,
,28530,7260534067,,,,,,,114.4138291,22.7648023,,,
,28531,9006653061,,,,,,,114.4124379,22.7641254,,,
,28532,9006653085,,,,,,,114.4124133,22.7564089,,,
,28533,9006653100,,,,,,,114.4119881,22.7559697,,,
,28534,9006653109,,,,,,,114.4129955,22.7561046,,,
,28535,9006653104,,,,,,,114.4124919,22.7564204,,,
,28536,9006785690,,,,,,,114.3308412,22.6800152,,,
,28537,3506359145,,,,,,,114.4123912,22.7644513,,,
,28538,1306713217,,,,,,,114.4169258,22.7655256,,,
,28539,3506359232,,,,,,,114.4174561,22.7658281,,,
,28540,8395635136,,,,,,,114.4148202,22.7560363,,,
,28541,9006793173,,,,,,,114.4190195,22.756024,,,
,28542,1306713168,,,,,,,114.4197158,22.7561934,,,
,28543,5669352854,,,,,,,114.4150098,22.7561898,,,
,28544,5189735901,,,,,,,113.9957744,22.5926364,,,
,28545,9196855364,traffic_signals,,signal,,,,113.9955367,22.593261,,,
,28546,9007446953,,,,,,,113.9954948,22.5933554,,,
,28547,9196855353,,,,,,,113.9954761,22.5933976,,,
,28548,9007433065,traffic_signals,,signal,,,,113.9948137,22.5950901,,,
,28549,9007446732,,,,,,,113.99476,22.5952286,,,
,28550,9007446731,,,,,,,113.9947306,22.5953047,,,
,28551,9007433067,,,,,,,113.9946459,22.5953541,,,
,28552,9045147550,traffic_signals,,signal,,,,113.9768236,22.5927906,,,
,28553,9045147556,,,,,,,113.981816,22.5933306,,,
,28554,9045147555,traffic_signals,,signal,,,,113.9818531,22.5933472,,,
,28555,9007446548,traffic_signals,,signal,,,,113.9850964,22.5952779,,,
,28556,9007446585,,,,,,,113.9852771,22.5952924,,,
,28557,9007446834,traffic_signals,,signal,,,,113.986695,22.5951324,,,
,28558,9007446875,,,,,,,113.986964,22.5950699,,,
,28559,9007446539,,,,,,,113.9870293,22.5950553,,,
,28560,2317014024,,,,,,,113.9878482,22.5949333,,,
,28561,9007446718,,,,,,,114.0025457,22.5994807,,,
,28562,9007446643,traffic_signals,,signal,,,,113.9948865,22.5953943,,,
,28563,9007446733,,,,,,,113.9946568,22.5952624,,,
,28564,9007446798,traffic_signals,,signal,,,,113.9905463,22.594987,,,
,28565,9007446677,,,,,,,114.0039719,22.5992592,,,
,28566,9007446714,,,,,,,114.002543,22.5999308,,,
,28567,9007446734,,,,,,,113.9946874,22.5951843,,,
,28568,9007433069,traffic_signals,,signal,,,,113.9953376,22.5935052,,,
,28569,9196855354,,,,,,,113.9953985,22.593368,,,
,28570,9007446952,,,,,,,113.9954173,22.5933257,,,
,28571,9196855365,traffic_signals,,signal,,,,113.9955415,22.5930457,,,
,28572,9007446758,,,,,,,114.0034297,22.5995477,,,
,28573,9196855352,,,,,,,113.9972674,22.5940812,,,
,28574,9196855356,traffic_signals,,signal,,,,113.9956778,22.5934746,,,
,28575,9196855381,,,,,,,113.9884048,22.5907021,,,
,28576,9007446797,,,,,,,113.9904189,22.5949249,,,
,28577,9007446593,traffic_signals,,signal,,,,113.9871508,22.5950985,,,
,28578,9007446827,,,,,,,113.9870337,22.5951202,,,
,28579,9007446876,,,,,,,113.9869466,22.595138,,,
,28580,9007446584,traffic_signals,,signal,,,,113.9854704,22.5953629,,,
,28581,9007447075,,,,,,,113.9852701,22.5953546,,,
,28582,9007446582,,,,,,,113.9852182,22.5953521,,,
,28583,9007446566,traffic_signals,,signal,,,,113.9820977,22.5935468,,,
,28584,9045147551,traffic_signals,,signal,,,,113.9773778,22.5928626,,,
,28585,9045147500,,,,,,,113.9768225,22.5928516,,,
,28586,9007446846,,,,,,,113.9867751,22.5961798,,,
,28587,3738253304,,,,,,,113.9874162,22.5988179,,,
,28588,9007446847,,,,,,,113.9868629,22.5958597,,,
