name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,170,111638824,,,,,,,-8.6568078,41.1787663,,,
,171,112618358,,,,,,,-8.5610052,41.1581234,,,
,172,112664159,,,,,,,-8.5626522,41.1613028,,,
,173,111636743,,,,,,,-8.6552994,41.1783165,,,
,174,4604131628,traffic_signals,,signal,,,,-8.6555752,41.1784597,,,
,175,111641319,,,,,,,-8.6563727,41.1790288,,,
,176,111644723,motorway_junction,,,,,,-8.6574452,41.1794889,,,
,177,111645303,,,,,,,-8.6581699,41.1795319,,,
,178,733887040,,,,,,,-8.6958256,41.2325596,,,
,179,733885170,,,,,,,-8.6955733,41.232968,,,
,180,1243857985,,,,,,,-8.6354257,41.1639779,,,
,181,2215508913,traffic_signals,,signal,,,,-8.6364325,41.1643134,,,
,182,112594210,,,,,,,-8.6371713,41.1645081,,,
,183,112263308,motorway_junction,,,,,,-8.6526817,41.1758181,,,
,184,6918477411,,,,,,,-8.6531067,41.1762773,,,
,185,429378625,,,,,,,-8.6462308,41.1790852,,,
,186,5297868251,,,,,,,-8.6490893,41.1807878,,,
,187,1225943165,,,,,,,-8.6489482,41.1810042,,,
,188,112580529,,,,,,,-8.6513189,41.1764453,,,
,189,112290052,,,,,,,-8.6517451,41.1761621,,,
,190,112291402,,,,,,,-8.6529931,41.1752892,,,
,191,112288401,,,,,,,-8.6533976,41.1753435,,,
,192,112292258,motorway_junction,,,,,,-8.6524724,41.1754289,,,
,193,112552931,,,,,,,-8.6526768,41.1749388,,,
,194,112580224,,,,,,,-8.6510449,41.1762338,,,
,195,112581017,,,,,,,-8.6516243,41.1766913,,,
,196,112581021,,,,,,,-8.6516467,41.176432,,,
,197,112594236,,,,,,,-8.6395478,41.1653756,,,
,198,112594240,,,,,,,-8.6401631,41.1656985,,,
,199,112618339,,,,,,,-8.5616403,41.1584424,,,
,200,112618345,,,,,,,-8.5620708,41.1580913,,,
,201,112618347,,,,,,,-8.5620055,41.157845,,,
,202,112618350,,,,,,,-8.5615977,41.1576401,,,
,203,112618365,,,,,,,-8.5614715,41.1584475,,,
,204,112624344,,,,,,,-8.5587853,41.1561526,,,
,205,135809827,,,,,,,-8.6269868,41.2202286,,,
,206,114302844,,,,,,,-8.6270854,41.2175025,,,
Braga/Maia/Carvalhido,207,1110673549,motorway_junction,,,,,,-8.6285632,41.1726528,,,
,208,1110673670,,,,,,,-8.6266687,41.1728067,,,
,209,1216466360,,,,,,,-8.6337326,41.1633796,,,
,210,112677104,crossing,,,,,,-8.6334964,41.163241,,,
,211,3521762242,,,,,,,-8.6710553,41.1888685,,,
,212,3521762461,,,,,,,-8.6711409,41.187027,,,
,213,4484561880,,,,,,,-8.6822599,41.1803338,,,
,214,6094371910,,,,,,,-8.6819283,41.1804245,,,
,215,114302543,,,,,,,-8.6821053,41.1808149,,,
,216,5633768917,,,,,,,-8.682959,41.1823174,,,
,217,8075429983,crossing,,,,,,-8.6809057,41.1834442,,,
,218,114302558,,,,,,,-8.6824552,41.1807118,,,
,219,6094371563,,,,,,,-8.6826513,41.1806123,,,
,220,418721519,,,,,,,-8.6903775,41.1799193,,,
,221,5410053512,crossing,,,,,,-8.6896403,41.1799673,,,
,222,8312279922,give_way,,,,,,-8.6816159,41.1793421,,,
,223,8300397639,,,,,,,-8.6814793,41.1794347,,,
,224,4395077295,,,,,,,-8.5657417,41.1630146,,,
,225,114310261,,,,,,,-8.5656998,41.1620435,,,
,226,2583877577,,,,,,,-8.5658187,41.1617737,,,
,227,112617174,,,,,,,-8.5645547,41.1623177,,,
,228,1103500521,,,,,,,-8.5717619,41.1564778,,,
,229,1103952808,,,,,,,-8.5680412,41.1584254,,,
,230,1103952951,,,,,,,-8.572183,41.1562095,,,
,231,1103952826,,,,,,,-8.5724587,41.1550861,,,
A20 Porto / A3 Braga / A4 V. Real,232,114310686,motorway_junction,,,,,,-8.5749686,41.1520715,,,
,233,114310696,,,,,,,-8.5786264,41.1499065,,,
,234,114310699,,,,,,,-8.5808614,41.1491995,,,
A20 Gaia / A1 Lisboa,235,114310705,motorway_junction,,,,,,-8.5815075,41.1480176,,,
,236,114310714,,,,,,,-8.5794325,41.1460615,,,
,237,25507600,,,,,,,-8.5811733,41.1454215,,,
Freixo / Entre-os-Rios,238,25507582,motorway_junction,,,,,,-8.5797087,41.1513862,,,
,239,25507581,,,,,,,-8.5801756,41.1520755,,,
Freixo / A43 Gondomar,240,4685582565,motorway_junction,,,,,,-8.5787812,41.1498356,,,
,241,114311906,,,,,,,-8.5787029,41.1501457,,,
,242,114312390,,,,,,,-8.5779888,41.1512331,,,
,243,114312656,,,,,,,-8.5767433,41.1510242,,,
A20 Gaia / A1 Lisboa,244,114315563,motorway_junction,,,,,,-8.5812331,41.1475865,,,
,245,25507594,,,,,,,-8.580636,41.1472516,,,
A20 Porto / A3 Braga / A4 V. Real,246,114315556,motorway_junction,,,,,,-8.5796626,41.146385,,,
,247,25507591,,,,,,,-8.5793775,41.1483683,,,
,248,114320429,,,,,,,-8.5791502,41.1462573,,,
,249,1548073774,,,,,,,-8.5747537,41.1518991,,,
,250,114320452,,,,,,,-8.5791579,41.1458378,,,
,251,276932740,,,,,,,-8.5779239,41.1447718,,,
,252,2206349297,,,,,,,-8.6128692,41.1415688,,,
,253,112686789,,,,,,,-8.6108108,41.1412657,,,
,254,122410789,,,,,,,-8.6559099,41.1782781,,,
,255,122410791,,,,,,,-8.6551755,41.1777098,,,
,256,1353867884,,,,,,,-8.652666,41.1756033,,,
,257,122411124,,,,,,,-8.6551113,41.1777592,,,
,258,122411125,,,,,,,-8.6558243,41.1783294,,,
,259,112694614,,,,,,,-8.6671221,41.1874892,,,
,260,3521762118,,,,,,,-8.6679243,41.1879936,,,
,261,1353862676,,,,,,,-8.6537761,41.1785325,,,
,262,1353862690,,,,,,,-8.6527292,41.1804465,,,
,263,122432550,,,,,,,-8.6308069,41.1650366,,,
,264,1092997347,traffic_signals,,signal,,,,-8.6317726,41.1646119,,,
,265,122432556,,,,,,,-8.6324427,41.164267,,,
,266,343646772,,,,,,,-8.6327818,41.1641134,,,
,267,122434048,,,,,,,-8.6350672,41.1629893,,,
,268,122432561,,,,,,,-8.6352081,41.1628949,,,
,269,122452407,,,,,,,-8.5934639,41.1605486,,,
,270,3092747263,,,,,,,-8.5941358,41.1605816,,,
,271,299612405,traffic_signals,,signal,,,,-8.5967326,41.1609094,,,
,272,122452412,traffic_signals,,signal,,,,-8.5982534,41.1611025,,,
,273,122452414,traffic_signals,,signal,,,,-8.60031,41.1613654,,,
,274,126634476,,,,,,,-8.6040169,41.1618277,,,
,275,1352647036,,,,,,,-8.5923386,41.1608958,,,
,276,4473312694,traffic_signals,,signal,,,,-8.5922132,41.1609112,,,
,277,4751729004,,,,,,,-8.5919652,41.1609978,,,
,278,1731170804,,,,,,,-8.582531,41.1787347,,,
,279,4464130700,,,,,,,-8.581907,41.180256,,,
,280,122525425,,,,,,,-8.678571,41.1528939,,,
,281,111442620,,,,,,,-8.6763121,41.1500814,,,
